small cell lung carcinoma	hsa-mir-378g
atrial fibrillation	hsa-mir-378f
rectal neoplasms	hsa-mir-1271
acute lung injury	hsa-mir-21
stroke	hsa-mir-520b
colitis, ulcerative	hsa-mir-301a
cystic fibrosis	hsa-mir-492
hodgkin disease	hsa-mir-205
hypopharyngeal neoplasms	hsa-mir-592
adenocarcinoma	hsa-mir-103b
lupus erythematosus, systemic	hsa-mir-371a
bladder neoplasms	hsa-mir-516b
neurofibromatosis 2	hsa-mir-28
albuminuria	hsa-mir-378g
chlamydia infections	hsa-mir-155
rhabdomyosarcoma	hsa-mir-122
nervous system diseases	hsa-mir-513a
gastric neoplasms	hsa-mir-583
cardiomyopathy, dilated	hsa-mir-431
nevus, pigmented	hsa-mir-194
hypoxia-ischemia, brain	hsa-mir-583
vascular calcification	hsa-mir-1258
diabetes mellitus	hsa-mir-1266
hand, foot and mouth disease	hsa-mir-517c
uterine cervical neoplasms	hsa-mir-182
focal epithelial hyperplasia	hsa-mir-1224
adenocarcinoma	hsa-mir-617
fatty liver	hsa-let-7c
neutropenia	hsa-mir-1972
lymphoproliferative disorders	hsa-mir-449a
down syndrome	hsa-let-7g
neuroblastoma	hsa-mir-1296
multiple sclerosis	hsa-mir-569
osteoarthritis	hsa-mir-143
diabetes mellitus, type 1	hsa-mir-1275
fatty liver, non-alcoholic	hsa-mir-23b
retinal degeneration	hsa-mir-720
hepatitis	hsa-mir-151a
long qt syndrome	hsa-mir-648
liposarcoma	hsa-mir-208b
nephrosclerosis	hsa-mir-548a
hepatoblastoma	hsa-mir-520f
carcinoma, oral	hsa-mir-224
carcinoma, basal cell	hsa-mir-142
leukemia, myeloid, chronic-phase	hsa-mir-20b
cardiomyopathy, dilated	hsa-mir-647
eczema	hsa-mir-26
intervertebral disk	hsa-mir-98
heart failure	hsa-mir-1275
endomyocardial fibrosis	hsa-mir-767
lymphoma	hsa-mir-566
intellectual disability	hsa-mir-1299
cystic fibrosis	hsa-mir-483
fatty liver	hsa-mir-499a
parkinson disease	hsa-mir-302b
myocarditis	hsa-mir-1266
cerebral hemorrhage	hsa-mir-152
kidney diseases	hsa-mir-1245a
central nervous system diseases	hsa-mir-381
nephrosclerosis	hsa-mir-93
meningioma	hsa-mir-545
carcinoma, endometrioid	hsa-mir-624
cerebellar neoplasms	hsa-mir-2110
cerebellar neoplasms	hsa-mir-300
myocardial reperfusion injury	hsa-mir-1297
leukemia, myeloid, chronic-phase	hsa-mir-512
musculoskeletal abnormalities	hsa-mir-376b
carcinoma, embryonal	hsa-mir-497
aortic aneurysm, thoracic	hsa-mir-601
myopia	hsa-mir-33a
graves disease	hsa-mir-654
aortic valve stenosis	hsa-mir-138
leukemia, myeloid, chronic-phase	hsa-mir-378h
hepatitis	hsa-mir-1207
leiomyoma	hsa-mir-1322
infertility, male	hsa-mir-324
endometrial neoplasms	hsa-mir-181c
prion diseases	hsa-mir-19a
chlamydia infections	hsa-mir-1280
biliary tract neoplasms	hsa-mir-34a
liver cirrhosis, biliary	hsa-mir-200b
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-765
lymphoma, large-cell, anaplastic	hsa-mir-514a
cocaine-related disorders	hsa-mir-129
aids dementia complex	hsa-mir-424
melanoma	hsa-mir-1254
giant cell tumors	hsa-mir-125a
leprosy	hsa-mir-138
inflammatory bowel diseases	hsa-mir-2355
rectal neoplasms	hsa-mir-136
hyperlipidemias	hsa-mir-1301
amyotrophic lateral sclerosis	hsa-mir-205
stroke	hsa-mir-152
heart defects, congenital	hsa-mir-652
astrocytoma	hsa-mir-374a
hiv	hsa-let-7a
giant cell tumors	hsa-mir-501
behcet syndrome	hsa-mir-376a
atrial fibrillation	hsa-mir-127
precursor t-cell lymphoblastic leukemia-lymphoma	hsa-mir-194
diabetic nephropathies	hsa-mir-491
lupus erythematosus, systemic	hsa-mir-340
leiomyosarcoma	hsa-mir-100
carcinoma, renal cell	hsa-mir-487a
pheochromocytoma	hsa-mir-611
cardiomyopathy, dilated	hsa-mir-574
nervous system diseases	hsa-mir-495
cardiovascular diseases	hsa-mir-450b
supranuclear palsy, progressive	hsa-mir-155
heart defects, congenital	hsa-mir-519d
gastritis, atrophic	hsa-mir-99b
supranuclear palsy, progressive	hsa-mir-107
amyloidosis	hsa-mir-198
myocarditis	hsa-mir-520a
stomach neoplasms 	hsa-mir-663b
polycystic kidney diseases	hsa-mir-9
leukemia, lymphoblastic, chronic	hsa-mir-520h
myocardial ischemia	hsa-mir-500a
graft vs host disease	hsa-mir-337
behcet syndrome	hsa-mir-151a
hepatoblastoma	hsa-mir-190a
hiv-1	hsa-mir-23b
granulosa cell tumor	hsa-mir-589
aortic valve stenosis	hsa-mir-27a
leiomyoma	hsa-mir-612
keratoconus	hsa-mir-365a
muscular disorders, atrophic	hsa-mir-1299
hodgkin disease	hsa-mir-197
tourette syndrome	hsa-mir-378c
retinal degeneration	hsa-mir-569
prrsv infection	hsa-mir-33a
kidney neoplasms	hsa-mir-494
antiphospholipid syndrome	hsa-mir-30a
sezary syndrome	hsa-mir-190b
leukemia, myeloid, acute	hsa-mir-103b
gout	hsa-mir-23a
nevus, pigmented	hsa-mir-92
albuminuria	hsa-mir-216b
adrenal cortex neoplasms	hsa-mir-222
leiomyoma	hsa-mir-422a
autistic disorder	hsa-mir-135a
cardiomyopathy, dilated	hsa-mir-106b
mycosis fungoides	hsa-mir-375
vitiligo	hsa-mir-378d
uterine cervical neoplasms	hsa-mir-421
toxoplasma	hsa-mir-103b
adrenal cortex neoplasms	hsa-mir-16
amyloidosis	hsa-mir-521
infertility, male	hsa-mir-622
arthritis, rheumatoid	hsa-mir-200c
neoplasms, glandular and epithelial	hsa-mir-29b
prostate neoplasms	hsa-mir-769
muscular dystrophy, facioscapulohumeral	hsa-mir-1290
scleroderma, localized	hsa-mir-29b
helplessness, learned	hsa-mir-203
hev	hsa-mir-499a
osteoarthritis	hsa-mir-137
eye abnormalities	hsa-mir-383
diabetic nephropathies	hsa-mir-657
hypertrophy, left ventricular	hsa-mir-151b
hand, foot and mouth disease	hsa-mir-668
astrocytoma	hsa-mir-138
sarcoma, ewing's	hsa-mir-219
myopia	hsa-mir-505
ischemia	hsa-mir-193a
polycystic kidney diseases	hsa-mir-18a
sarcoma	hsa-mir-297
anemia, sickle cell	hsa-mir-518e
myopia	hsa-mir-101
colonic neoplasms	hsa-mir-491
colitis	hsa-mir-2110
carcinoma, non-small-cell lung	hsa-mir-16
keloid	hsa-mir-1305
musculoskeletal abnormalities	hsa-mir-519c
fatty liver, non-alcoholic	hsa-mir-488
lymphoma, primary effusion	hsa-mir-329
leukemia, promyelocytic, acute	hsa-mir-608
anoxia	hsa-let-7a
nervous system diseases	hsa-mir-196a
hamartoma syndrome, multiple	hsa-mir-135a
nasopharyngeal neoplasms	hsa-mir-499a
carcinoma, hepatocellular	hsa-mir-483
hpv infection	hsa-mir-652
dementia	hsa-mir-450a
myositis ossificans	hsa-mir-449a
muscular dystrophy, duchenne	hsa-mir-425
hypertrophy	hsa-mir-378e
fatty liver, non-alcoholic	hsa-mir-19a
multiple sclerosis	hsa-mir-92a
schistosomiasis	hsa-mir-1249
astrocytoma	hsa-mir-520d
lung neoplasms	hsa-mir-615
hypertrophy, left ventricular	hsa-mir-124
osteoporosis	hsa-mir-3151
adenoma	hsa-mir-361
lung diseases, interstitial	hsa-mir-128
lymphoma	hsa-mir-628
meningioma	hsa-mir-154
breast neoplasms	hsa-mir-548b
kidney failure, chronic	hsa-mir-454
hiv	hsa-mir-203
hepatitis b, chronic	hsa-mir-502
hypertrophy, left ventricular	hsa-mir-152
adrenal cortex neoplasms	hsa-mir-376c
diabetic retinopathy	hsa-mir-124
leukemia, lymphoblastic, chronic	hsa-mir-378h
acth-secreting pituitary adenoma	hsa-mir-182
hiv	hsa-mir-583
obesity	hsa-mir-492
pituitary adenomas	hsa-mir-302d
infertility, male	hsa-mir-630
liposarcoma	hsa-mir-25
anxiety disorders	hsa-mir-519c
atherosclerosis	hsa-mir-654
leiomyoma	hsa-mir-154
leukemia, myeloid, acute	hsa-mir-486
retinal neovascularization	hsa-mir-663a
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-125b
sepsis	hsa-let-7b
myelodysplastic syndromes	hsa-mir-448
psoriasis	hsa-mir-326
parkinson disease	hsa-mir-614
carcinoma	hsa-mir-151
multiple myeloma	hsa-mir-627
leprosy	hsa-mir-370
periodontal diseases	hsa-mir-212
leukemia, lymphoblastic, acute	hsa-mir-652
mesothelioma	hsa-let-7d
siv infection	hsa-mir-183
infertility, male	hsa-mir-145
pituitary neoplasms	hsa-mir-933
hiv-1	hsa-mir-517a
myasthenia gravis	hsa-mir-550a
autoimmune diseases	hsa-mir-484
hiv infection	hsa-mir-628
encephalomyelitis, autoimmune, experimental	hsa-mir-409
pre-eclampsia	hsa-mir-517a
uterine cervical neoplasms	hsa-mir-98
keratoconus	hsa-mir-194
carcinoma	hsa-mir-1297
carcinoma, oral	hsa-mir-564
pulmonary disease, chronic obstructive	hsa-mir-603
drug-induced liver injury	hsa-mir-10a
pheochromocytoma	hsa-mir-154
hemangioma	hsa-mir-181c
leukemia, lymphoblastic, acute	hsa-mir-1179
hematologic neoplasms	hsa-mir-379
diabetes mellitus, type 2	hsa-mir-518e
diabetes complications	hsa-mir-106a
retinoblastoma	hsa-mir-544b
neuroma, acoustic	hsa-mir-1258
sarcoma	hsa-mir-127
testicular neoplasms	hsa-mir-627
sezary syndrome	hsa-mir-614
liver diseases, alcoholic	hsa-mir-130b
hepatitis	hsa-mir-572
polycystic kidney diseases	hsa-mir-1207
eczema	hsa-mir-1254
sarcoma, ewing	hsa-mir-603
liposarcoma	hsa-mir-382
hypopharyngeal neoplasms	hsa-mir-1233
diabetic retinopathy	hsa-mir-300
myelodysplastic syndromes	hsa-mir-483
dyspepsia	hsa-mir-640
aortic aneurysm, thoracic	hsa-mir-516b
hepatitis c	hsa-mir-628
prostatic neoplasms	hsa-mir-2355
myopia	hsa-mir-34b
neurilemmoma	hsa-mir-548a
creutzfeldt-jakob syndrome	hsa-mir-200
ischemia	hsa-mir-325
anemia, sickle cell	hsa-mir-203
hyperglycemia	hsa-mir-758
heart defects, congenital	hsa-mir-190a
osteoporosis	hsa-mir-33b
diabetes mellitus, type 1	hsa-mir-101
lung neoplasms	hsa-mir-519e
hcv	hsa-mir-27b
lung diseases	hsa-mir-1202
retinal degeneration	hsa-mir-190b
renal insufficiency	hsa-mir-196a
granulosa cell tumor	hsa-mir-216a
reperfusion injury	hsa-mir-191
hypoxia-ischemia, brain	hsa-mir-1469
lung diseases	hsa-mir-671
stomach diseases	hsa-mir-4792
nerve sheath neoplasms	hsa-mir-600
leiomyoma	hsa-mir-1280
hbv infection	hsa-mir-657
tourette syndrome	hsa-mir-548c
eye abnormalities	hsa-mir-155
carcinoma, oral	hsa-mir-16
pituitary neoplasms	hsa-mir-29c
hpv infection	hsa-mir-1271
leiomyosarcoma	hsa-mir-433
sarcoma	hsa-mir-362
hepatitis, chronic	hsa-mir-200b
hypertrophy	hsa-mir-1471
adrenocortical adenoma	hsa-mir-519d
adenocarcinoma	hsa-mir-30b
fibrosis	hsa-mir-1236
sarcoma, ewing	hsa-mir-30b
hodgkin disease	hsa-mir-338
hepatitis, chronic	hsa-mir-124
pheochromocytoma	hsa-mir-452
myocarditis	hsa-mir-146b
aortic valve stenosis	hsa-mir-143
lichen planus, oral	hsa-mir-616
leprosy	hsa-mir-599
retinal degeneration	hsa-mir-135b
hypertension	hsa-mir-450b
burkitt lymphoma	hsa-mir-125a
gout	hsa-mir-454
fibrosarcoma	hsa-mir-593
salivary gland neoplasms	hsa-mir-147b
mesothelioma	hsa-mir-630
fragile x syndrome	hsa-mir-130a
antiphospholipid syndrome	hsa-mir-708
myocytes, cardiac	hsa-mir-1258
melanoma	hsa-mir-151
endometrial neoplasms	hsa-mir-30b
carcinoma	hsa-mir-298
arthritis, rheumatoid	hsa-mir-507
leiomyoma	hsa-mir-151
leukemia, myeloid	hsa-mir-509
pancreatic neoplasms	hsa-mir-181
schistosomiasis	hsa-mir-3163
fanconi anemia	hsa-mir-105
wounds and injuries	hsa-mir-96
hcv	hsa-mir-3151
head and neck neoplasms	hsa-mir-423
gerstmann-straussler-scheinker disease	hsa-mir-1249
brain neoplasms	hsa-let-7f
cholesteatoma	hsa-mir-15a
cocaine-related disorders	hsa-mir-711
rhinitis, allergic, perennial	hsa-mir-299
crohn disease	hsa-mir-135b
obesity	hsa-mir-1234
dementia	hsa-mir-584
osteosarcoma	hsa-mir-663b
cervical neoplasms	hsa-mir-199b
waldenstrom macroglobulinemia	hsa-mir-218
mouth neoplasms	hsa-mir-18a
esophagus	hsa-mir-134
acth-secreting pituitary adenoma	hsa-mir-526a
child development disorders, pervasive	hsa-mir-519d
aids dementia complex	hsa-mir-182
pulmonary fibrosis	hsa-mir-574
hypopharyngeal neoplasms	hsa-mir-320a
chondrodysplasia punctata	hsa-mir-199b
myasthenia gravis	hsa-mir-1827
granulosa cell tumor	hsa-mir-615
kidney neoplasms	hsa-mir-181c
adenoviridae infections	hsa-mir-301b
neurofibromatosis 2	hsa-mir-544b
rhinitis, allergic, perennial	hsa-mir-198
anxiety disorders	hsa-mir-329
psychotic disorders	hsa-mir-141
pulmonary disease, chronic obstructive	hsa-mir-296
lichen planus, oral	hsa-mir-211
metabolic diseases	hsa-mir-378a
myelodysplastic syndromes	hsa-mir-628
heart defects, congenital	hsa-mir-331
prion diseases	hsa-mir-323a
focal epithelial hyperplasia	hsa-mir-602
hemangioma	hsa-mir-526a
rectal neoplasms	hsa-mir-95
rhabdomyosarcoma	hsa-mir-1296
ischemic preconditioning	hsa-let-7e
neurodegenerative diseases	hsa-mir-449b
glomerulonephritis, iga	hsa-mir-148b
thyroid neoplasms	hsa-mir-29a
arrhythmias, cardiac	hsa-mir-624
osteoporosis	hsa-mir-635
cystic fibrosis	hsa-mir-718
osteolysis	hsa-mir-500a
lung diseases, interstitial	hsa-mir-29b
hpv infection	hsa-mir-134
acute lung injury	hsa-mir-99b
hemangioma	hsa-mir-593
salivary gland neoplasms	hsa-mir-517c
fibroblasts	hsa-mir-320c
atherosclerosis	hsa-mir-96
liver diseases, alcoholic	hsa-mir-1909
chlamydia infections	hsa-mir-31
musculoskeletal abnormalities	hsa-mir-31
dyslipidemias	hsa-mir-320a
hematologic neoplasms	hsa-mir-30e
mycosis fungoides	hsa-mir-1293
aortic valve insufficiency	hsa-mir-3163
eczema	hsa-mir-557
neuroma, acoustic	hsa-mir-1286
testicular neoplasms	hsa-mir-301b
hepatitis c, chronic	hsa-mir-409
chordoma	hsa-mir-582
liver diseases, alcoholic	hsa-mir-617
cryptosporidium	hsa-mir-451b
creutzfeldt-jakob syndrome	hsa-mir-614
pulmonary embolism	hsa-mir-2355
hamartoma syndrome, multiple	hsa-mir-124a
osteolysis	hsa-mir-214
cerebral ischemia	hsa-mir-518e
cryptosporidium	hsa-mir-1260a
muscular dystrophy, duchenne	hsa-mir-126
leukemia, biphenotypic, acute	hsa-mir-664
mouth neoplasms	hsa-mir-1286
prrsv infection	hsa-mir-183
acquired immunodeficiency syndrome	hsa-mir-18b
precursor cell lymphoblastic leukemia-lymphoma	hsa-mir-383
hypoxia-ischemia, brain	hsa-mir-450b
carcinoma, non-small-cell lung	hsa-mir-21
angina, unstable	hsa-mir-9
neoplasms, germ cell and embryonal	hsa-mir-342
gastritis, atrophic	hsa-mir-302b
musculoskeletal abnormalities	hsa-mir-503
hev	hsa-mir-23a
erythropoiesis	hsa-mir-652
colorectal neoplasms	hsa-mir-657
aortic valve stenosis	hsa-mir-362
renal insufficiency	hsa-mir-135a
glioma	hsa-mir-487a
child development disorders, pervasive	hsa-mir-1236
infertility, male	hsa-mir-1280
vascular diseases	hsa-mir-330
frontotemporal lobar degeneration	hsa-mir-495
leiomyoma	hsa-mir-4257
ovarian neoplasms	hsa-mir-1972
gout	hsa-mir-145
endometriosis	hsa-mir-24
waldenstrom macroglobulinemia	hsa-mir-1202
lymphoma, non-hodgkin	hsa-mir-9
prostatic neoplasms	hsa-mir-15a
diabetes mellitus	hsa-mir-93
hamartoma syndrome, multiple	hsa-mir-548a
lymphoproliferative disorders	hsa-mir-30d
leukemia, lymphocytic, chronic, b-cell	hsa-mir-340
multiple sclerosis	hsa-let-7b
fatty liver	hsa-mir-145
leukemia, lymphoblastic, chronic	hsa-mir-423
chondrodysplasia punctata	hsa-mir-337
eye abnormalities	hsa-mir-518c
myocardial infarction	hsa-mir-29b
rhabdomyosarcoma	hsa-mir-523
hiv	hsa-mir-200a
psychotic disorders	hsa-mir-650
hypertension	hsa-mir-1909
lipid metabolism disorders	hsa-mir-454
nasopharyngeal neoplasms	hsa-let-7a
neutropenia	hsa-mir-1285
nasopharyngeal neoplasms	hsa-mir-1909
carcinoma, hepatocellular	hsa-mir-151a
gout	hsa-mir-508
carcinoma, ehrlich tumor	hsa-mir-671
hand, foot and mouth disease	hsa-mir-33a
urinary bladder neoplasms	hsa-mir-1915
leukemia, myeloid	hsa-mir-3151
hypertrophy	hsa-mir-509
crohn disease	hsa-mir-1247
osteosarcoma 	hsa-mir-632
diabetes complications	hsa-mir-659
carcinoma, ductal, breast	hsa-mir-624
biliary atresia	hsa-mir-744
burkitt lymphoma	hsa-mir-302e
chondrodysplasia punctata	hsa-mir-29c
acquired immunodeficiency syndrome	hsa-mir-526b
nevus, pigmented	hsa-mir-154
focal epithelial hyperplasia	hsa-mir-99a
ependymoma	hsa-mir-513b
prolactinoma	hsa-mir-193b
pituitary neoplasms	hsa-mir-148b
rhinitis, allergic, perennial	hsa-mir-135b
choriocarcinoma	hsa-mir-106a
cerebellar neoplasms	hsa-mir-1
retinal degeneration	hsa-mir-381
azoospermia	hsa-mir-124a
pain	hsa-mir-3186
myocardial ischemia	hsa-mir-329
distal myopathies	hsa-mir-550a
myocytes, cardiac	hsa-mir-489
fatty liver	hsa-mir-619
leukemia, lymphocytic, chronic, b-cell	hsa-mir-2861
hodgkin disease	hsa-mir-155
radiation injuries	hsa-mir-593
carcinoma, renal cell	hsa-mir-575
nephrosclerosis	hsa-mir-1224
esophageal neoplasms	hsa-mir-299
cardiomegaly	hsa-mir-31
burkitt lymphoma	hsa-mir-455
mesothelioma	hsa-mir-1303
ischemic preconditioning	hsa-mir-206
diabetes mellitus, type 1	hsa-mir-550a
aortic aneurysm, thoracic	hsa-mir-196a
neurodegenerative diseases	hsa-mir-642a
fatty liver, alcoholic	hsa-mir-1180
pancreatic neoplasms	hsa-mir-590
myotonic dystrophy	hsa-mir-539
pre-eclampsia	hsa-mir-1287
anxiety disorders	hsa-mir-135a
cocaine-related disorders	hsa-mir-212
amyotrophic lateral sclerosis	hsa-mir-487b
cardiovascular diseases	hsa-mir-33a
behcet syndrome	hsa-mir-501
adrenocortical carcinoma	hsa-mir-652
hepatitis, chronic	hsa-mir-1256
nasopharyngeal neoplasms	hsa-mir-452
liposarcoma	hsa-mir-378h
neoplasms	hsa-mir-320a
myeloproliferative disorders	hsa-mir-1296
granulosa cell tumor	hsa-mir-378c
lymphoma, t-cell	hsa-mir-190a
moyamoya disease	hsa-mir-451a
endothelium, vascular	hsa-mir-124
neurodegenerative diseases	hsa-mir-552
myocardial infarction	hsa-mir-134
leukemia, lymphoblastic, chronic	hsa-mir-514a
sarcoma, ewing's	hsa-mir-34b
myeloproliferative disorders	hsa-mir-135b
hepatoblastoma	hsa-mir-550a
anus neoplasms	hsa-mir-34a
schistosomiasis	hsa-mir-215
schistosomiasis	hsa-mir-27b
meningioma	hsa-mir-520c
pulmonary fibrosis	hsa-mir-1827
bladder neoplasms	hsa-mir-134
lung diseases	hsa-mir-27b
periodontitis	hsa-mir-448
retinal degeneration	hsa-mir-195
retinoblastoma	hsa-mir-200a
aids dementia complex	hsa-mir-135a
hcv	hsa-mir-302b
leukemia, lymphoblastic, chronic	hsa-mir-381
hiv infection	hsa-mir-342
polycythemia vera	hsa-mir-216b
fibrosarcoma	hsa-mir-30b
fatty liver, non-alcoholic	hsa-mir-154
scleroderma, systemic	hsa-mir-151b
sarcoma, synovial	hsa-mir-122
fragile x syndrome	hsa-mir-153
gastrointestinal neoplasms	hsa-mir-3163
periodontal diseases	hsa-mir-363
burns	hsa-mir-373
kidney diseases	hsa-mir-520h
anxiety disorders	hsa-mir-642a
rectal neoplasms	hsa-mir-1179
lymphoma, b-cell	hsa-mir-423
cocaine-related disorders	hsa-mir-29a
liposarcoma	hsa-mir-146a
anxiety disorders	hsa-mir-450b
schistosomiasis	hsa-mir-449a
gastrointestinal neoplasms	hsa-mir-493
stroke	hsa-mir-193a
leukemia, myeloid, chronic-phase	hsa-mir-379
rectal neoplasms	hsa-mir-489
hev	hsa-mir-320b
periodontal diseases	hsa-mir-24
nasopharyngeal neoplasms	hsa-mir-382
endothelium, vascular	hsa-mir-106b
nephrosclerosis	hsa-mir-196b
leiomyosarcoma	hsa-mir-500a
erythropoiesis	hsa-mir-338
leukemia, lymphoblastic, acute	hsa-mir-205
adrenocortical adenoma	hsa-mir-411
urinary bladder neoplasms	hsa-mir-99a
infertility, male	hsa-mir-488
drug-induced liver injury	hsa-mir-659
liver cirrhosis, biliary	hsa-mir-711
retinal degeneration	hsa-mir-599
head and neck neoplasms	hsa-mir-564
ovarian neoplasms	hsa-mir-519e
liposarcoma	hsa-mir-1256
hepatitis c	hsa-mir-449a
musculoskeletal abnormalities	hsa-mir-136
neurilemmoma	hsa-mir-125b
carcinoma, squamous cell	hsa-mir-34b
hiv	hsa-mir-126
vascular calcification	hsa-mir-1302
nasopharyngeal neoplasms	hsa-mir-767
helplessness, learned	hsa-mir-564
precursor t-cell lymphoblastic leukemia-lymphoma	hsa-mir-193b
urinary bladder neoplasms	hsa-mir-1
myositis ossificans	hsa-mir-711
ependymoma	hsa-mir-300
leukemia, lymphoblastic, acute	hsa-mir-30c
azoospermia	hsa-mir-204
fibrosis	hsa-mir-378d
multiple myeloma	hsa-mir-516a
carcinoma, endometrioid	hsa-mir-224
cocaine-related disorders	hsa-mir-28
cardiovascular diseases	hsa-mir-361
intracranial aneurysm	hsa-mir-574
fatty liver, non-alcoholic	hsa-mir-429
carcinoma, non-small-cell lung	hsa-mir-582
gastrointestinal neoplasms	hsa-mir-632
hamartoma syndrome, multiple	hsa-mir-513c
angina, unstable	hsa-mir-378e
irritable bowel syndrome	hsa-mir-181a
dementia	hsa-mir-532
neurodegenerative diseases	hsa-mir-208b
pre-eclampsia	hsa-mir-635
hyperlipidemias	hsa-mir-663b
cocaine-related disorders	hsa-mir-1305
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-206
stomach diseases	hsa-mir-614
ischemia	hsa-mir-497
neoplasms, glandular and epithelial	hsa-mir-342
hypoxia-ischemia, brain	hsa-mir-378g
carcinoma, ehrlich tumor	hsa-mir-206
hcmv infection	hsa-mir-4306
muscular dystrophy, facioscapulohumeral	hsa-mir-658
liver failure	hsa-mir-495
endothelium, vascular	hsa-mir-650
neutropenia	hsa-mir-520a
ischemia	hsa-mir-27b
sarcoma, kaposi	hsa-mir-328
ovarian neoplasms	hsa-mir-520d
pituitary neoplasms	hsa-mir-507
myocardial infarction	hsa-mir-200
sarcoma	hsa-mir-146a
long qt syndrome	hsa-mir-99a
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-1273a
retinal neovascularization	hsa-mir-149
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-622
mesothelioma	hsa-mir-181c
carcinoma, small cell	hsa-mir-378i
odontogenic tumors	hsa-mir-1181
kidney neoplasms	hsa-mir-103b
neurilemmoma	hsa-mir-1179
leiomyoma	hsa-mir-181b
colon neoplasms	hsa-mir-1299
cardiomyopathy, dilated	hsa-mir-545
liver cirrhosis, biliary	hsa-mir-30e
leukemia, b-cell	hsa-mir-518b
osteoarthritis	hsa-mir-1273a
long qt syndrome	hsa-mir-596
cataract	hsa-mir-1287
hpv infection	hsa-mir-3130
glioblastoma 	hsa-let-7g
cholesteatoma	hsa-mir-4257
giant cell tumors	hsa-mir-145
trophoblasts	hsa-mir-485
lupus erythematosus, systemic	hsa-mir-19a
leiomyoma	hsa-mir-25
brain injuries	hsa-mir-193a
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-503
fatty liver, non-alcoholic	hsa-mir-202
diabetes mellitus	hsa-mir-616
hodgkin disease	hsa-mir-25
muscular dystrophies	hsa-mir-503
testicular neoplasms	hsa-mir-151b
pituitary neoplasms	hsa-mir-550a
cataract	hsa-mir-498
sepsis	hsa-mir-127
child development disorders, pervasive	hsa-mir-557
hamartoma syndrome, multiple	hsa-mir-331
alopecia	hsa-mir-376c
hypertension	hsa-mir-510
myeloproliferative disorders	hsa-mir-320a
neoplasms, squamous cell	hsa-mir-455
carcinoma, embryonal	hsa-mir-3163
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-517a
myopia	hsa-mir-324
hand, foot and mouth disease	hsa-mir-320b
prrsv infection	hsa-mir-1305
autoimmune diseases	hsa-mir-641
aging	hsa-mir-329
lupus nephritis	hsa-mir-27a
sarcoma, kaposi	hsa-mir-1249
hiv-1	hsa-mir-330
osteosarcoma	hsa-mir-200c
anus neoplasms	hsa-mir-433
vascular calcification	hsa-mir-885
carcinoma, neuroendocrine	hsa-mir-151a
psoriasis	hsa-mir-561
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-106b
prolactinoma	hsa-mir-203
mesothelioma	hsa-mir-648
encephalomyelitis, autoimmune, experimental	hsa-mir-519b
cervical intraepithelial neoplasia	hsa-mir-1305
liver diseases	hsa-mir-217
nevus, pigmented	hsa-mir-519a
adenocarcinoma	hsa-mir-1224
metabolic diseases	hsa-mir-191
anxiety disorders	hsa-mir-1258
hematologic neoplasms	hsa-mir-33a
ischemia	hsa-mir-26a
oligodendroglioma	hsa-mir-451b
hepatitis b, chronic	hsa-mir-760
amyloidosis	hsa-mir-663a
toxoplasma	hsa-mir-1236
fanconi anemia	hsa-mir-525
pain	hsa-mir-148a
adenoma	hsa-mir-24
arthritis	hsa-mir-300
scleroderma, systemic	hsa-mir-33a
stomach neoplasms 	hsa-mir-516a
demyelinating diseases	hsa-mir-1184
hypertrophy, left ventricular	hsa-mir-3940
alopecia	hsa-mir-106a
atherosclerosis	hsa-mir-298
burns	hsa-mir-1254
fanconi anemia	hsa-mir-1915
rhabdomyosarcoma	hsa-mir-658
myocardial reperfusion injury	hsa-mir-346
mycosis fungoides	hsa-mir-200b
sjogren's syndrome	hsa-mir-187
waldenstrom macroglobulinemia	hsa-mir-323b
astrocytoma	hsa-mir-320d
diabetes mellitus	hsa-mir-505
thyroid neoplasms	hsa-mir-615
ovary syndrome	hsa-mir-571
hearing loss	hsa-mir-1254
colonic neoplasms	hsa-mir-4306
leiomyoma	hsa-mir-204
colitis	hsa-mir-20a
hiv-1	hsa-mir-1301
lupus vulgaris	hsa-mir-1258
marek disease	hsa-mir-125a
myocarditis	hsa-mir-449c
acquired immunodeficiency syndrome	hsa-mir-1260a
granulosa cell tumor	hsa-mir-501
myelodysplastic syndromes	hsa-mir-615
leprosy	hsa-mir-564
hypopharyngeal neoplasms	hsa-mir-720
myositis ossificans	hsa-mir-429
salivary gland neoplasms	hsa-mir-574
fanconi anemia	hsa-mir-26
liver diseases, alcoholic	hsa-mir-598
uterine cervical neoplasms	hsa-mir-527
tourette syndrome	hsa-mir-4257
muscular disorders, atrophic	hsa-mir-617
meningioma	hsa-mir-484
diabetic retinopathy	hsa-mir-28
hyperlipidemias	hsa-mir-627
lymphoma, t-cell	hsa-mir-4257
obesity	hsa-mir-513a
leukemia, lymphoblastic, chronic	hsa-mir-451a
trophoblasts	hsa-mir-208a
laryngeal neoplasms	hsa-mir-17
